[2026-06-10T11:00:24.542Z] GET http://127.0.0.1:5173/@vite/client → 200 (47ms, 137703B)
[2026-06-10T11:00:24.542Z] GET https://fonts.googleapis.com/css2?family=Noto+Sans+KR:wght@400;500;600;700&display=swap → 200 (18ms, 377620B)
[2026-06-10T11:00:24.542Z] GET https://cdn.tailwindcss.com/ → 302 (19ms, ?B)
[2026-06-10T11:00:24.542Z] GET http://127.0.0.1:5173/src/main.jsx → 200 (42ms, 2040B)
[2026-06-10T11:00:24.544Z] GET http://127.0.0.1:5173/@react-refresh → 200 (46ms, 117548B)
[2026-06-10T11:00:24.561Z] GET https://cdn.tailwindcss.com/3.4.17 → 200 (46ms, 407279B)
[2026-06-10T11:00:24.590Z] GET http://127.0.0.1:5173/node_modules/vite/dist/client/env.mjs → 200 (7ms, 4021B)
[2026-06-10T11:00:24.766Z] GET http://127.0.0.1:5173/node_modules/.vite/deps/react_jsx-dev-runtime.js?v=c3e6c4b8 → 200 (42ms, 37035B)
[2026-06-10T11:00:24.767Z] GET http://127.0.0.1:5173/node_modules/.vite/deps/react.js?v=c3e6c4b8 → 200 (32ms, 219B)
[2026-06-10T11:00:24.767Z] GET http://127.0.0.1:5173/node_modules/.vite/deps/react-dom_client.js?v=c3e6c4b8 → 200 (34ms, 1118B)
[2026-06-10T11:00:24.767Z] GET http://127.0.0.1:5173/src/App.jsx → 200 (41ms, 23709B)
[2026-06-10T11:00:24.767Z] GET http://127.0.0.1:5173/src/index.css → 200 (36ms, 1402B)
[2026-06-10T11:00:24.809Z] GET http://127.0.0.1:5173/node_modules/.vite/deps/chunk-RLJ2RCJQ.js?v=c3e6c4b8 → 200 (18ms, 77818B)
[2026-06-10T11:00:24.809Z] GET http://127.0.0.1:5173/node_modules/.vite/deps/chunk-DC5AMYBS.js?v=c3e6c4b8 → 200 (30ms, 1830B)
